designation,value
Sr. Python Developer,1341
Sr. QA Automation Engineer,1342
Sr. QA Lead SDET Engineer,1343
Sr. Salesforce Developer,1344
Sr. Software Developer,1345
Sr. Test Consultant,1346
Staff Nurse,1347
Startup Consultant,1348
Statistical Programmer,1349
Stockbroker,261
Store Keeper,1350
Store Manager,542
Strategic Sourcing Specialist,1351
Strategist,236
Strategy Associate,1352
Strategy Consultant,1353
Strategy Manager,1354
Student Advisor,637
Student Affairs Coordinator,472
Student Counselor,635
Student Relationship Officer,662
Subject Matter Expert,1355
Subject Matter Expert (SME),650
Subject Teacher,579
Supervisor,38
Supply Chain Analyst,228
Supply Chain Engineer,445
Supply Chain Executive,1356
Supply Chain Manager,297
Supply Chain Risk Manager,330
Support Specialist,213
Survey Executive,1357
Surveyor,1358
Sustainability Manager,523
System Administrator,1359
System Analyst,1360
System Engineer,1361
System Integrator,1362
System Support Analyst,1363
Systems Administrator,345
Systems Analyst,204
Systems Developer,84
Systems Engineer,157
Systems Engineering Manager,400
Systems Support Engineer,275
TV Anchor,1419
Tableau Consultant,1364
Tableau Developer,1365
Talend ETL developer,1366
Talent Acquisition Executive,1367
Talent Acquisition Lead,1368
Talent Acquisition Manager,1369
Talent Acquisition Partner,1370
Talent Acquisition Specialist,151
Talent ETL developer,1371
Talent Management Specialist,1372
Tax Advisor,255
Tax Analyst,1373
Tax Consultant,140
Tax Manager,310
Taxation Manager,1374
Teacher,193
Team Leader,39
Technical,4
Technical Architect,1375
Technical Lead,1376
Technical Lead (DevOps),1377
Technical Lead - DevOps,1378
Technical Lead and Architect,1379
Technical Leader,1380
Technical Product Manager,1381
Technical Project Manager,393
Technical Support Engineer,352
Technical Support Executive,1382
Technical Support Manager,413
Technical Support Representative,1383
Technical Support Specialist,218
Technical Trainer,625
Technical Trainer,626
Technical Writer,71
Technician,1384
Technology Analyst,164
Technology Consultant,249
Technology Team Lead,1385
Technology Transfer Engineer,1386
Telecaller,1387
Telecom Engineer,1388
Telemarketing Executive,1389
Telesales Executive,1390
Territory Executive,1391
Territory Manager,1392
Territory Sales Manager,1393
Test Analyst,1394
Test Automation Engineer,1395
Test Engineer,86
Test Lead,1396
Textile Designer,1397
Threat Analyst,108
Threat Hunter,1398
Threat Intelligence Analyst,1399
Tool Design Engineer,1400
Tool Room Engineer,1401
Tour Guide,530
Tour Operator,1402
Toxicologist,1403
Trader,1404
Trading Advisor,1405
Traffic Clerk,1406
Trained Graduate Teacher (TGT),576
Trainer,622
Training Coordinator,146
Training Coordinator,631
Training Manager,55
Training and Development Executive,1407
Transaction Manager,1408
Transaction Processing Executive,1409
Transactions Processing Executive,1410
Translator,1411
Transport Executive,1412
Transportation Manager,301
Transportation Supervisor,1413
Transportation and Logistics,559
Travel &amp; Immigration Coordinator,1414
Travel Agent,520
Travel Consultant,1415
Travel Coordinator,1416
Treasury Analyst,142
Treasury Executive,1417
Treasury Manager,265
Treasury Officer,1418
Tutor,356
Typist,1420
UAE Accountant,1421
UI Architect,1422
UI Architect UI Technical,1423
UI Designer,73
UI Developer,1424
UI Developer (React),1425
UI Team Lead,1426
UI Technical Lead,1427
UK Accountant,1428
UX Content Strategist,1432
UX Designer,72
UX/UI Designer,123
Underwriter,1429
Underwriting Executive,1430
Unix Administrator,348
Utility Engineer,1431
Validation Engineer,1433
Vendor Development Manager,1434
Vendor Executive,1435
Vendor Manager,1436
Vendor Relationship Manager,1437
Vendor Risk Manager,325
Venture Partner,1438
Vice President,21
Vice President (VP),1439
Vice President Administration,1440
Vice President Business Development,1441
Vice President Commercial,1442
Vice President Customer Service,1443
Vice President Customer Success,1444
Vice President Engineering,1445
Vice President Finance,1446
Vice President HR,1447
Vice President Marketing,1448
Vice President Operations,1449
Vice President Product,1450
Vice President Quality,1451
Vice President Sales,1452
Vice President Technology,1453
Vice Principal,609
Video Jockey (VJ),1454
Virtualization Engineer,344
Visiting Professor,605
Visual Communication Designer,1455
Visual Designer,1456
Visual Merchandiser,1457
Voice &amp; Accent Trainer,1458
Voice Process Executive,1459
Volunteer Coordinator,518
Vulnerability Assessment Engineer,1460
Vulnerability Assessor,94
Warehouse Assistant,1461
Warehouse Executive,1462
Warehouse Manager,230
Warehouse Supervisor,1463
Wealth Manager,253
Web &amp; Graphic Designer,1464
Web Analyst,1465
Web Designer,78
Web Developer,242
Webmaster,1466
Windows Administrator,347
Workflow Analyst,1467
Workforce Planning Analyst,475
Workshop Manager,1468
Writer,1469
Zonal Sales Manager,1470
iOS Developer,80
